feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC,_row
Cnnm3,Group,0.0123,0.069,DMSO,DESeq2,DMSO vs T4400,1.1587,0.2124,Cnnm3
Cnnm4,Group,0.2146,0.4277,DMSO,DESeq2,DMSO vs T4400,1.0881,0.1218,Cnnm4
Cnot1,Group,0.763,0.875,T4400,DESeq2,DMSO vs T4400,0.9861,-0.0203,Cnot1
Cnot10,Group,0.0467,0.1643,T4400,DESeq2,DMSO vs T4400,0.9164,-0.126,Cnot10
Cnot11,Group,0.0943,0.2555,T4400,DESeq2,DMSO vs T4400,0.9352,-0.0966,Cnot11
Cnot2,Group,0.1207,0.2985,DMSO,DESeq2,DMSO vs T4400,1.0893,0.1235,Cnot2
Cnot3,Group,0.026,0.1128,T4400,DESeq2,DMSO vs T4400,0.8635,-0.2117,Cnot3
Cnot4,Group,0.2345,0.451,DMSO,DESeq2,DMSO vs T4400,1.1137,0.1553,Cnot4
Cnot6,Group,0.2833,0.5042,T4400,DESeq2,DMSO vs T4400,0.9048,-0.1443,Cnot6
Cnot6l,Group,0.6536,0.8062,DMSO,DESeq2,DMSO vs T4400,1.0458,0.0646,Cnot6l
Cnot7,Group,0.3135,0.5348,DMSO,DESeq2,DMSO vs T4400,1.0765,0.1063,Cnot7
Cnot8,Group,0.898,0.9512,DMSO,DESeq2,DMSO vs T4400,1.007,0.01,Cnot8
Cnp,Group,0.0236,0.1054,T4400,DESeq2,DMSO vs T4400,0.8574,-0.222,Cnp
Cnppd1,Group,0.007,0.0479,DMSO,DESeq2,DMSO vs T4400,1.2672,0.3417,Cnppd1
Cnpy2,Group,0.6032,0.772,T4400,DESeq2,DMSO vs T4400,0.9776,-0.0326,Cnpy2
Cnpy3,Group,0.0718,0.215,DMSO,DESeq2,DMSO vs T4400,1.1424,0.1921,Cnpy3
Cnpy4,Group,0.0213,0.099,T4400,DESeq2,DMSO vs T4400,0.8728,-0.1963,Cnpy4
Cnr1,Group,0.3867,0.603,T4400,DESeq2,DMSO vs T4400,0.7976,-0.3263,Cnr1
Cnrip1,Group,0.2414,0.4591,DMSO,DESeq2,DMSO vs T4400,1.1089,0.1492,Cnrip1
Cnst,Group,0.3997,0.6145,T4400,DESeq2,DMSO vs T4400,0.958,-0.0619,Cnst
Cntd1,Group,0.7625,0.8749,DMSO,DESeq2,DMSO vs T4400,1.0903,0.1248,Cntd1
Cntf,Group,0.5385,0.7243,DMSO,DESeq2,DMSO vs T4400,1.324,0.4049,Cntf
Cntfr,Group,0.7071,0.8393,T4400,DESeq2,DMSO vs T4400,0.9191,-0.1217,Cntfr
Cntln,Group,0.2007,0.4105,DMSO,DESeq2,DMSO vs T4400,1.1173,0.16,Cntln
Cntn3,Group,0.0816,0.2327,DMSO,DESeq2,DMSO vs T4400,1.5452,0.6278,Cntn3
Cntn6,Group,0.0049,0.0381,DMSO,DESeq2,DMSO vs T4400,6.2479,2.6434,Cntn6
Cntnap1,Group,0.0166,0.0839,DMSO,DESeq2,DMSO vs T4400,1.4216,0.5075,Cntnap1
Cntnap4,Group,0.9629,0.9818,DMSO,DESeq2,DMSO vs T4400,1.0122,0.0174,Cntnap4
Cntrl,Group,0.1506,0.342,T4400,DESeq2,DMSO vs T4400,0.8313,-0.2665,Cntrl
Cntrob,Group,0.0209,0.0978,T4400,DESeq2,DMSO vs T4400,0.8176,-0.2906,Cntrob
Coa3,Group,0.3061,0.5277,T4400,DESeq2,DMSO vs T4400,0.9321,-0.1014,Coa3
Coa4,Group,0.9331,0.9676,T4400,DESeq2,DMSO vs T4400,0.9927,-0.0106,Coa4
Coa5,Group,0.4794,0.6794,T4400,DESeq2,DMSO vs T4400,0.9715,-0.0418,Coa5
Coa6,Group,0.3928,0.6088,T4400,DESeq2,DMSO vs T4400,0.9376,-0.0929,Coa6
Coa7,Group,0.961,0.9809,T4400,DESeq2,DMSO vs T4400,0.9968,-0.0046,Coa7
Coasy,Group,0.6738,0.8175,DMSO,DESeq2,DMSO vs T4400,1.0271,0.0386,Coasy
Cobl,Group,0.0197,0.0939,T4400,DESeq2,DMSO vs T4400,0.7986,-0.3245,Cobl
Cobll1,Group,0.9207,0.9625,DMSO,DESeq2,DMSO vs T4400,1.0085,0.0122,Cobll1
Cog1,Group,0.6979,0.8332,DMSO,DESeq2,DMSO vs T4400,1.0221,0.0316,Cog1
Cog2,Group,0.6018,0.7711,T4400,DESeq2,DMSO vs T4400,0.9759,-0.0352,Cog2
Cog3,Group,0.0904,0.2491,DMSO,DESeq2,DMSO vs T4400,1.0833,0.1154,Cog3
Cog4,Group,0.4813,0.6806,T4400,DESeq2,DMSO vs T4400,0.9757,-0.0355,Cog4
Cog5,Group,0.8713,0.9389,DMSO,DESeq2,DMSO vs T4400,1.0107,0.0153,Cog5
Cog6,Group,0.2205,0.4352,T4400,DESeq2,DMSO vs T4400,0.954,-0.0679,Cog6
Cog7,Group,0.6369,0.796,DMSO,DESeq2,DMSO vs T4400,1.0186,0.0265,Cog7
Cog8,Group,0.7691,0.8794,DMSO,DESeq2,DMSO vs T4400,1.0123,0.0176,Cog8
Coil,Group,0.2136,0.4264,T4400,DESeq2,DMSO vs T4400,0.9332,-0.0997,Coil
Col10a1,Group,0.0252,0.1101,DMSO,DESeq2,DMSO vs T4400,1.7057,0.7704,Col10a1
