feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC,_row
Htr2b,Group,0.0234,0.1051,T4400,DESeq2,DMSO vs T4400,0.6817,-0.5528,Htr2b
Htr7,Group,0.7965,0.8958,DMSO,DESeq2,DMSO vs T4400,1.0581,0.0815,Htr7
Htra1,Group,0.4138,0.6267,T4400,DESeq2,DMSO vs T4400,0.9415,-0.087,Htra1
Htra2,Group,0.0394,0.147,T4400,DESeq2,DMSO vs T4400,0.8708,-0.1995,Htra2
Htra3,Group,0.0467,0.1641,T4400,DESeq2,DMSO vs T4400,0.8394,-0.2526,Htra3
Htra4,Group,0.3677,0.5864,DMSO,DESeq2,DMSO vs T4400,1.3875,0.4725,Htra4
Htt,Group,0.5727,0.7497,T4400,DESeq2,DMSO vs T4400,0.9755,-0.0358,Htt
Hunk,Group,0.0113,0.0654,T4400,DESeq2,DMSO vs T4400,0.4973,-1.0077,Hunk
Hus1,Group,0.9186,0.9617,DMSO,DESeq2,DMSO vs T4400,1.0078,0.0112,Hus1
Huwe1,Group,0.2971,0.5186,DMSO,DESeq2,DMSO vs T4400,1.0544,0.0765,Huwe1
Hvcn1,Group,0.0005,0.0088,DMSO,DESeq2,DMSO vs T4400,2.0079,1.0057,Hvcn1
Hyal1,Group,0.0015,0.0183,DMSO,DESeq2,DMSO vs T4400,1.5157,0.6,Hyal1
Hyal2,Group,0.1096,0.2808,T4400,DESeq2,DMSO vs T4400,0.8939,-0.1619,Hyal2
Hyal3,Group,0.306,0.5276,DMSO,DESeq2,DMSO vs T4400,1.2822,0.3586,Hyal3
Hydin,Group,0.2664,0.488,T4400,DESeq2,DMSO vs T4400,0.4488,-1.1557,Hydin
Hyi,Group,0.2671,0.4887,T4400,DESeq2,DMSO vs T4400,0.9173,-0.1245,Hyi
Hykk,Group,0.6991,0.834,DMSO,DESeq2,DMSO vs T4400,1.0482,0.0679,Hykk
Hyls1,Group,0.0078,0.0509,T4400,DESeq2,DMSO vs T4400,0.7291,-0.4559,Hyls1
Hyou1,Group,0.0006,0.0107,DMSO,DESeq2,DMSO vs T4400,1.4729,0.5586,Hyou1
Hypk,Group,0.1262,0.3073,T4400,DESeq2,DMSO vs T4400,0.9198,-0.1206,Hypk
Iah1,Group,0.4576,0.6623,DMSO,DESeq2,DMSO vs T4400,1.0521,0.0733,Iah1
Iars,Group,0.0044,0.0353,DMSO,DESeq2,DMSO vs T4400,1.1413,0.1907,Iars
Iars2,Group,0.7797,0.8865,DMSO,DESeq2,DMSO vs T4400,1.0141,0.0202,Iars2
Iba57,Group,0.2471,0.4655,DMSO,DESeq2,DMSO vs T4400,1.0983,0.1353,Iba57
Ibtk,Group,0.1288,0.3105,DMSO,DESeq2,DMSO vs T4400,1.0993,0.1366,Ibtk
Ica1,Group,0.1079,0.2778,DMSO,DESeq2,DMSO vs T4400,1.1145,0.1564,Ica1
Ica1l,Group,0.5091,0.7034,T4400,DESeq2,DMSO vs T4400,0.8269,-0.2742,Ica1l
Icam4,Group,0.3272,0.5479,T4400,DESeq2,DMSO vs T4400,0.7294,-0.4552,Icam4
Icam5,Group,0.644,0.8005,T4400,DESeq2,DMSO vs T4400,0.9239,-0.1142,Icam5
Ice1,Group,0.1872,0.393,DMSO,DESeq2,DMSO vs T4400,1.0725,0.101,Ice1
Ice2,Group,0.3633,0.5819,DMSO,DESeq2,DMSO vs T4400,1.1027,0.1411,Ice2
Ick,Group,0.0134,0.073,DMSO,DESeq2,DMSO vs T4400,1.1576,0.2112,Ick
Icmt,Group,0.5293,0.7183,DMSO,DESeq2,DMSO vs T4400,1.0263,0.0374,Icmt
Ict1,Group,0.3687,0.587,T4400,DESeq2,DMSO vs T4400,0.9588,-0.0607,Ict1
Id1,Group,0.0315,0.1271,T4400,DESeq2,DMSO vs T4400,0.8499,-0.2346,Id1
Id2,Group,0.4102,0.6236,T4400,DESeq2,DMSO vs T4400,0.9001,-0.1518,Id2
Id3,Group,0.0002,0.005,T4400,DESeq2,DMSO vs T4400,0.678,-0.5606,Id3
Ide,Group,0.0091,0.0563,DMSO,DESeq2,DMSO vs T4400,1.1349,0.1825,Ide
Idh1,Group,0.3958,0.6112,T4400,DESeq2,DMSO vs T4400,0.9685,-0.0462,Idh1
Idh2,Group,0.0012,0.016,T4400,DESeq2,DMSO vs T4400,0.8643,-0.2104,Idh2
Idh3a,Group,0.0074,0.0494,T4400,DESeq2,DMSO vs T4400,0.8249,-0.2777,Idh3a
Idh3b,Group,0.171,0.3709,T4400,DESeq2,DMSO vs T4400,0.9521,-0.0708,Idh3b
Idh3g,Group,0.006,0.0434,T4400,DESeq2,DMSO vs T4400,0.8709,-0.1995,Idh3g
Idi1,Group,0.5833,0.7581,T4400,DESeq2,DMSO vs T4400,0.924,-0.1141,Idi1
Idnk,Group,0.1944,0.4028,DMSO,DESeq2,DMSO vs T4400,1.1049,0.1439,Idnk
Ids,Group,0.2756,0.4974,DMSO,DESeq2,DMSO vs T4400,1.1156,0.1578,Ids
Idua,Group,0.0743,0.2199,DMSO,DESeq2,DMSO vs T4400,1.1991,0.2619,Idua
Ier2,Group,0.9293,0.9661,T4400,DESeq2,DMSO vs T4400,0.9856,-0.0209,Ier2
Ier3,Group,0.0005,0.0091,DMSO,DESeq2,DMSO vs T4400,2.539,1.3443,Ier3
Ier3ip1,Group,0.6792,0.8211,T4400,DESeq2,DMSO vs T4400,0.9841,-0.0231,Ier3ip1
Ier5,Group,0.1898,0.3966,T4400,DESeq2,DMSO vs T4400,0.9333,-0.0996,Ier5
Ier5l,Group,0.0361,0.1392,T4400,DESeq2,DMSO vs T4400,0.9053,-0.1436,Ier5l
Iffo1,Group,0.0033,0.0298,T4400,DESeq2,DMSO vs T4400,0.8006,-0.3208,Iffo1
Iffo2,Group,0.6595,0.8086,T4400,DESeq2,DMSO vs T4400,0.9719,-0.0411,Iffo2
Ifi202b,Group,0.0371,0.1419,DMSO,DESeq2,DMSO vs T4400,1.2824,0.3588,Ifi202b
Ifi203,Group,0.0654,0.2033,DMSO,DESeq2,DMSO vs T4400,1.2503,0.3223,Ifi203
Ifi204,Group,0.0275,0.1171,DMSO,DESeq2,DMSO vs T4400,1.2764,0.3521,Ifi204
Ifi205,Group,0.8242,0.9115,DMSO,DESeq2,DMSO vs T4400,1.1248,0.1697,Ifi205
Ifi27,Group,0.2335,0.4498,T4400,DESeq2,DMSO vs T4400,0.9036,-0.1462,Ifi27
Ifi27l2a,Group,0.9945,0.9972,DMSO,DESeq2,DMSO vs T4400,1.002,0.0029,Ifi27l2a
Ifi30,Group,0.4075,0.6214,T4400,DESeq2,DMSO vs T4400,0.9609,-0.0576,Ifi30
Ifi35,Group,0.1703,0.3701,T4400,DESeq2,DMSO vs T4400,0.931,-0.1031,Ifi35
Ifi44,Group,0.0147,0.0776,DMSO,DESeq2,DMSO vs T4400,2.1792,1.1238,Ifi44
Ifi47,Group,0.9911,0.9957,DMSO,DESeq2,DMSO vs T4400,1.0018,0.0026,Ifi47
Ifih1,Group,0.4095,0.6231,DMSO,DESeq2,DMSO vs T4400,1.1458,0.1964,Ifih1
Ifit1,Group,0.0000062068,0.0008,DMSO,DESeq2,DMSO vs T4400,2.8766,1.5244,Ifit1
Ifit2,Group,0.0861,0.241,DMSO,DESeq2,DMSO vs T4400,1.1931,0.2547,Ifit2
Ifit3,Group,0.007,0.0479,DMSO,DESeq2,DMSO vs T4400,1.9177,0.9394,Ifit3
Ifit3b,Group,0.032,0.1282,DMSO,DESeq2,DMSO vs T4400,1.7678,0.822,Ifit3b
Ifitm1,Group,0.0148,0.078,DMSO,DESeq2,DMSO vs T4400,1.37,0.4542,Ifitm1
Ifitm10,Group,0.1056,0.2746,T4400,DESeq2,DMSO vs T4400,0.7511,-0.413,Ifitm10
Ifitm2,Group,0.0046,0.0366,DMSO,DESeq2,DMSO vs T4400,1.3114,0.3911,Ifitm2
Ifitm3,Group,0.0008,0.0126,DMSO,DESeq2,DMSO vs T4400,1.3411,0.4234,Ifitm3
Ifitm5,Group,0.5974,0.7681,T4400,DESeq2,DMSO vs T4400,0.829,-0.2706,Ifitm5
Ifitm6,Group,0.0053,0.0401,DMSO,DESeq2,DMSO vs T4400,2.3434,1.2286,Ifitm6
Ifnar1,Group,0.0374,0.1424,DMSO,DESeq2,DMSO vs T4400,1.1119,0.153,Ifnar1
Ifnar2,Group,0.001,0.0142,DMSO,DESeq2,DMSO vs T4400,1.3039,0.3829,Ifnar2
Ifng,Group,0.2287,0.4438,DMSO,DESeq2,DMSO vs T4400,2.5604,1.3564,Ifng
Ifngr1,Group,0.227,0.4421,DMSO,DESeq2,DMSO vs T4400,1.0575,0.0806,Ifngr1
Ifngr2,Group,0.4454,0.6517,T4400,DESeq2,DMSO vs T4400,0.9732,-0.0392,Ifngr2
Ifnlr1,Group,0.481,0.6805,T4400,DESeq2,DMSO vs T4400,0.7739,-0.3697,Ifnlr1
Ifnz,Group,0.6952,0.8316,DMSO,DESeq2,DMSO vs T4400,1.1986,0.2613,Ifnz
Ifrd1,Group,0.0063,0.0447,DMSO,DESeq2,DMSO vs T4400,1.4003,0.4857,Ifrd1
Ifrd2,Group,0.0152,0.0795,T4400,DESeq2,DMSO vs T4400,0.8441,-0.2444,Ifrd2
Ift122,Group,0.5958,0.767,DMSO,DESeq2,DMSO vs T4400,1.033,0.0468,Ift122
Ift140,Group,0.2709,0.4922,T4400,DESeq2,DMSO vs T4400,0.9505,-0.0732,Ift140
Ift172,Group,0.1053,0.2739,DMSO,DESeq2,DMSO vs T4400,1.1218,0.1659,Ift172
Ift20,Group,0.8908,0.948,T4400,DESeq2,DMSO vs T4400,0.9938,-0.0089,Ift20
Ift22,Group,0.3968,0.6123,DMSO,DESeq2,DMSO vs T4400,1.0545,0.0766,Ift22
Ift27,Group,0.5293,0.7183,DMSO,DESeq2,DMSO vs T4400,1.038,0.0538,Ift27
Ift43,Group,0.1341,0.3186,T4400,DESeq2,DMSO vs T4400,0.92,-0.1203,Ift43
Ift46,Group,0.9371,0.9699,DMSO,DESeq2,DMSO vs T4400,1.0047,0.0068,Ift46
Ift52,Group,0.575,0.7518,DMSO,DESeq2,DMSO vs T4400,1.0256,0.0364,Ift52
Ift57,Group,0.6503,0.8041,DMSO,DESeq2,DMSO vs T4400,1.0213,0.0303,Ift57
Ift74,Group,0.0759,0.2227,DMSO,DESeq2,DMSO vs T4400,1.1715,0.2284,Ift74
Ift80,Group,0.6614,0.8092,DMSO,DESeq2,DMSO vs T4400,1.0472,0.0665,Ift80
Ift81,Group,0.0973,0.2609,DMSO,DESeq2,DMSO vs T4400,1.2075,0.272,Ift81
Ift88,Group,0.0428,0.155,DMSO,DESeq2,DMSO vs T4400,1.1223,0.1664,Ift88
Igbp1,Group,0.0759,0.2227,DMSO,DESeq2,DMSO vs T4400,1.0892,0.1233,Igbp1
Igdcc4,Group,0.2591,0.4799,T4400,DESeq2,DMSO vs T4400,0.9323,-0.1011,Igdcc4
Igf1,Group,0.0232,0.1044,T4400,DESeq2,DMSO vs T4400,0.5247,-0.9304,Igf1
Igf1r,Group,0.0403,0.149,DMSO,DESeq2,DMSO vs T4400,1.211,0.2762,Igf1r
Igf2,Group,0.0003,0.0073,T4400,DESeq2,DMSO vs T4400,0.6222,-0.6846,Igf2
Igf2bp1,Group,0.8177,0.9088,T4400,DESeq2,DMSO vs T4400,0.9008,-0.1507,Igf2bp1
Igf2bp2,Group,3.6909e-7,0.0002,DMSO,DESeq2,DMSO vs T4400,2.1097,1.0771,Igf2bp2
Igf2bp3,Group,0.6673,0.8136,DMSO,DESeq2,DMSO vs T4400,1.0729,0.1016,Igf2bp3
Igf2os,Group,0.0129,0.0714,T4400,DESeq2,DMSO vs T4400,0.4685,-1.0939,Igf2os
Igf2r,Group,0.0228,0.1035,DMSO,DESeq2,DMSO vs T4400,1.1727,0.2298,Igf2r
Igfals,Group,0.9692,0.985,DMSO,DESeq2,DMSO vs T4400,1.0179,0.0256,Igfals
Igfbp2,Group,0.2181,0.4327,T4400,DESeq2,DMSO vs T4400,0.8725,-0.1968,Igfbp2
Igfbp3,Group,0.009,0.0561,T4400,DESeq2,DMSO vs T4400,0.5537,-0.8527,Igfbp3
Igfbp4,Group,0.4269,0.6372,DMSO,DESeq2,DMSO vs T4400,1.1181,0.161,Igfbp4
Igfbp5,Group,0.2529,0.4729,DMSO,DESeq2,DMSO vs T4400,1.0899,0.1242,Igfbp5
Igfbp6,Group,0.0728,0.2167,T4400,DESeq2,DMSO vs T4400,0.8839,-0.178,Igfbp6
Igfbp7,Group,0.0022,0.0232,T4400,DESeq2,DMSO vs T4400,0.7529,-0.4094,Igfbp7
Igflr1,Group,0.1729,0.3736,DMSO,DESeq2,DMSO vs T4400,1.2369,0.3068,Igflr1
Igfn1,Group,0.0058,0.0426,T4400,DESeq2,DMSO vs T4400,0.646,-0.6305,Igfn1
Ighmbp2,Group,0.9532,0.9776,T4400,DESeq2,DMSO vs T4400,0.9967,-0.0047,Ighmbp2
Igip,Group,0.0177,0.088,DMSO,DESeq2,DMSO vs T4400,1.4637,0.5496,Igip
Iglon5,Group,0.2964,0.5179,T4400,DESeq2,DMSO vs T4400,0.8455,-0.242,Iglon5
Igsf10,Group,0.5427,0.7272,T4400,DESeq2,DMSO vs T4400,0.9572,-0.0631,Igsf10
Igsf11,Group,0.0016,0.0187,DMSO,DESeq2,DMSO vs T4400,1.5232,0.6071,Igsf11
Igsf3,Group,0.0902,0.2488,DMSO,DESeq2,DMSO vs T4400,1.0907,0.1253,Igsf3
Igsf5,Group,0.448,0.6541,T4400,DESeq2,DMSO vs T4400,0.8032,-0.3162,Igsf5
Igsf6,Group,0.8975,0.9511,DMSO,DESeq2,DMSO vs T4400,1.0585,0.082,Igsf6
Igsf8,Group,0.2703,0.4916,T4400,DESeq2,DMSO vs T4400,0.9459,-0.0803,Igsf8
Igsf9,Group,0.0609,0.1943,T4400,DESeq2,DMSO vs T4400,0.704,-0.5063,Igsf9
Igtp,Group,0.6468,0.8021,DMSO,DESeq2,DMSO vs T4400,1.0516,0.0726,Igtp
Iigp1,Group,0.7122,0.8426,DMSO,DESeq2,DMSO vs T4400,1.1595,0.2135,Iigp1
Ik,Group,0.7721,0.8811,DMSO,DESeq2,DMSO vs T4400,1.0123,0.0176,Ik
Ikbip,Group,0.9378,0.9703,T4400,DESeq2,DMSO vs T4400,0.9948,-0.0075,Ikbip
Ikbkap,Group,0.0246,0.1084,T4400,DESeq2,DMSO vs T4400,0.8965,-0.1576,Ikbkap
Ikbkb,Group,0.1743,0.3759,DMSO,DESeq2,DMSO vs T4400,1.0547,0.0768,Ikbkb
Ikbke,Group,0.0002,0.0047,DMSO,DESeq2,DMSO vs T4400,1.3571,0.4405,Ikbke
Ikbkg,Group,0.0003,0.0065,DMSO,DESeq2,DMSO vs T4400,1.3681,0.4522,Ikbkg
Ikzf2,Group,0.4734,0.6749,T4400,DESeq2,DMSO vs T4400,0.9199,-0.1205,Ikzf2
Ikzf4,Group,0.4909,0.689,T4400,DESeq2,DMSO vs T4400,0.7203,-0.4733,Ikzf4
Ikzf5,Group,0.958,0.9796,DMSO,DESeq2,DMSO vs T4400,1.0048,0.0068,Ikzf5
Il10rb,Group,0.0462,0.1633,DMSO,DESeq2,DMSO vs T4400,1.1551,0.208,Il10rb
Il11,Group,0.956,0.9785,T4400,DESeq2,DMSO vs T4400,0.9881,-0.0173,Il11
Il11ra1,Group,0.6378,0.7967,T4400,DESeq2,DMSO vs T4400,0.9693,-0.045,Il11ra1
Il12a,Group,0.5717,0.7491,T4400,DESeq2,DMSO vs T4400,0.9341,-0.0983,Il12a
Il12b,Group,0.0527,0.1779,DMSO,DESeq2,DMSO vs T4400,3.793,1.9233,Il12b
Il12rb1,Group,0.0506,0.1736,DMSO,DESeq2,DMSO vs T4400,1.2537,0.3261,Il12rb1
Il12rb2,Group,0.9707,0.9859,DMSO,DESeq2,DMSO vs T4400,1.0103,0.0148,Il12rb2
Il13ra1,Group,0.0001,0.0031,DMSO,DESeq2,DMSO vs T4400,1.5345,0.6177,Il13ra1
Il13ra2,Group,0,0.0024,DMSO,DESeq2,DMSO vs T4400,5.1602,2.3674,Il13ra2
Il15,Group,0.0036,0.0311,T4400,DESeq2,DMSO vs T4400,0.6408,-0.642,Il15
Il15ra,Group,0.6093,0.7756,T4400,DESeq2,DMSO vs T4400,0.8922,-0.1646,Il15ra
Il16,Group,0.0201,0.0952,DMSO,DESeq2,DMSO vs T4400,1.369,0.4531,Il16
Il17b,Group,0.002,0.0216,T4400,DESeq2,DMSO vs T4400,0.1149,-3.1213,Il17b
Il17d,Group,0.4715,0.6736,T4400,DESeq2,DMSO vs T4400,0.7848,-0.3496,Il17d
Il17ra,Group,0.6086,0.7751,DMSO,DESeq2,DMSO vs T4400,1.0369,0.0523,Il17ra
Il17rc,Group,0.2898,0.5111,T4400,DESeq2,DMSO vs T4400,0.9528,-0.0697,Il17rc
Il17rd,Group,0.1553,0.3488,T4400,DESeq2,DMSO vs T4400,0.8927,-0.1637,Il17rd
Il17re,Group,0.0925,0.2524,T4400,DESeq2,DMSO vs T4400,0.6894,-0.5365,Il17re
Il18,Group,0.0429,0.1555,T4400,DESeq2,DMSO vs T4400,0.817,-0.2915,Il18
Il18bp,Group,0.8445,0.9225,DMSO,DESeq2,DMSO vs T4400,1.0329,0.0466,Il18bp
Il18rap,Group,0.6745,0.8181,T4400,DESeq2,DMSO vs T4400,0.9073,-0.1403,Il18rap
Il19,Group,0.4548,0.6597,DMSO,DESeq2,DMSO vs T4400,1.8714,0.9041,Il19
Il1a,Group,4.5548e-9,0,DMSO,DESeq2,DMSO vs T4400,5.06,2.3391,Il1a
Il1b,Group,0.5273,0.7171,DMSO,DESeq2,DMSO vs T4400,1.1,0.1375,Il1b
Il1f10,Group,0.2748,0.4964,DMSO,DESeq2,DMSO vs T4400,2.0422,1.0301,Il1f10
Il1f9,Group,0,0.0022,DMSO,DESeq2,DMSO vs T4400,9.0464,3.1773,Il1f9
Il1r1,Group,0.0036,0.0315,DMSO,DESeq2,DMSO vs T4400,1.2178,0.2842,Il1r1
Il1rap,Group,0,0.0014,DMSO,DESeq2,DMSO vs T4400,1.7543,0.8109,Il1rap
Il1rl1,Group,0.2178,0.4322,DMSO,DESeq2,DMSO vs T4400,1.5563,0.6381,Il1rl1
Il1rn,Group,0.0685,0.2089,T4400,DESeq2,DMSO vs T4400,0.8828,-0.1799,Il1rn
Il20rb,Group,0.0521,0.1766,T4400,DESeq2,DMSO vs T4400,0.6517,-0.6177,Il20rb
Il21r,Group,0.6873,0.8261,DMSO,DESeq2,DMSO vs T4400,1.1769,0.235,Il21r
Il23r,Group,0.2925,0.5141,T4400,DESeq2,DMSO vs T4400,0.6408,-0.6421,Il23r
Il27ra,Group,0.3788,0.5955,T4400,DESeq2,DMSO vs T4400,0.9066,-0.1415,Il27ra
Il2rb,Group,0.1288,0.3105,T4400,DESeq2,DMSO vs T4400,0.7732,-0.3712,Il2rb
Il2rg,Group,0.7664,0.8772,T4400,DESeq2,DMSO vs T4400,0.9603,-0.0584,Il2rg
Il33,Group,0.0004,0.0082,DMSO,DESeq2,DMSO vs T4400,1.5781,0.6581,Il33
Il34,Group,0.3787,0.5954,DMSO,DESeq2,DMSO vs T4400,1.0947,0.1305,Il34
Il3ra,Group,0.021,0.0979,DMSO,DESeq2,DMSO vs T4400,1.1989,0.2617,Il3ra
Il4ra,Group,0.0041,0.034,DMSO,DESeq2,DMSO vs T4400,1.307,0.3862,Il4ra
Il6,Group,0.0000071376,0.0009,DMSO,DESeq2,DMSO vs T4400,6.4428,2.6877,Il6
Il6ra,Group,0.0003,0.0068,DMSO,DESeq2,DMSO vs T4400,1.375,0.4594,Il6ra
Il6st,Group,0.0004,0.0083,DMSO,DESeq2,DMSO vs T4400,1.2574,0.3304,Il6st
Il7,Group,0.2003,0.4101,T4400,DESeq2,DMSO vs T4400,0.7492,-0.4166,Il7
Ildr2,Group,0.0523,0.177,DMSO,DESeq2,DMSO vs T4400,1.2734,0.3487,Ildr2
Ilf2,Group,0.0378,0.1432,T4400,DESeq2,DMSO vs T4400,0.8818,-0.1815,Ilf2
Ilf3,Group,0.0292,0.1211,T4400,DESeq2,DMSO vs T4400,0.8873,-0.1724,Ilf3
Ilk,Group,0.0001,0.0043,T4400,DESeq2,DMSO vs T4400,0.7837,-0.3516,Ilk
Ilkap,Group,0.0041,0.0342,T4400,DESeq2,DMSO vs T4400,0.8569,-0.2229,Ilkap
Ilvbl,Group,0.0681,0.2084,DMSO,DESeq2,DMSO vs T4400,1.1059,0.1452,Ilvbl
Immp1l,Group,0.9819,0.9905,T4400,DESeq2,DMSO vs T4400,0.9988,-0.0017,Immp1l
Immp2l,Group,0.4148,0.6274,T4400,DESeq2,DMSO vs T4400,0.9105,-0.1353,Immp2l
Immt,Group,0.3795,0.596,T4400,DESeq2,DMSO vs T4400,0.9598,-0.0593,Immt
Imp3,Group,0.2581,0.479,DMSO,DESeq2,DMSO vs T4400,1.0983,0.1353,Imp3
Imp4,Group,0.389,0.605,T4400,DESeq2,DMSO vs T4400,0.9561,-0.0647,Imp4
Impa1,Group,0.3765,0.594,T4400,DESeq2,DMSO vs T4400,0.9534,-0.0688,Impa1
Impa2,Group,0.004,0.0335,T4400,DESeq2,DMSO vs T4400,0.7292,-0.4555,Impa2
Impact,Group,0.0000022447,0.0005,DMSO,DESeq2,DMSO vs T4400,1.4358,0.5218,Impact
Impad1,Group,0.5421,0.7269,DMSO,DESeq2,DMSO vs T4400,1.0648,0.0906,Impad1
Impdh1,Group,0.59,0.7632,T4400,DESeq2,DMSO vs T4400,0.9805,-0.0285,Impdh1
Impdh2,Group,0,0.0023,T4400,DESeq2,DMSO vs T4400,0.741,-0.4324,Impdh2
Impg2,Group,0.8047,0.9012,T4400,DESeq2,DMSO vs T4400,0.9194,-0.1212,Impg2
Inadl,Group,0.6139,0.7787,T4400,DESeq2,DMSO vs T4400,0.9623,-0.0555,Inadl
Inafm1,Group,0.2387,0.4562,DMSO,DESeq2,DMSO vs T4400,1.0889,0.1228,Inafm1
Inafm2,Group,0.3257,0.5464,DMSO,DESeq2,DMSO vs T4400,1.0761,0.1059,Inafm2
Inca1,Group,0.4038,0.6181,T4400,DESeq2,DMSO vs T4400,0.8899,-0.1683,Inca1
Incenp,Group,0.0008,0.012,T4400,DESeq2,DMSO vs T4400,0.6031,-0.7294,Incenp
Inf2,Group,0.6035,0.7722,T4400,DESeq2,DMSO vs T4400,0.9806,-0.0283,Inf2
Ing1,Group,0.5488,0.7318,T4400,DESeq2,DMSO vs T4400,0.9692,-0.0451,Ing1
Ing2,Group,0.4933,0.6909,T4400,DESeq2,DMSO vs T4400,0.9611,-0.0572,Ing2
Ing3,Group,0.1248,0.3047,DMSO,DESeq2,DMSO vs T4400,1.1136,0.1552,Ing3
Ing4,Group,0.518,0.7106,DMSO,DESeq2,DMSO vs T4400,1.0307,0.0436,Ing4
Ing5,Group,0.9047,0.9543,DMSO,DESeq2,DMSO vs T4400,1.0083,0.012,Ing5
Inha,Group,0.7946,0.8946,T4400,DESeq2,DMSO vs T4400,0.9686,-0.0461,Inha
Inhba,Group,0.369,0.5871,DMSO,DESeq2,DMSO vs T4400,1.1158,0.1581,Inhba
Inhbb,Group,0.2577,0.4784,DMSO,DESeq2,DMSO vs T4400,1.0847,0.1173,Inhbb
Inip,Group,0.8272,0.9136,T4400,DESeq2,DMSO vs T4400,0.9821,-0.0261,Inip
Ino80,Group,0.0224,0.1021,DMSO,DESeq2,DMSO vs T4400,1.167,0.2227,Ino80
Ino80b,Group,0.9727,0.9861,T4400,DESeq2,DMSO vs T4400,0.9979,-0.0031,Ino80b
Ino80c,Group,0.2778,0.4994,DMSO,DESeq2,DMSO vs T4400,1.0562,0.0789,Ino80c
Ino80d,Group,0.1685,0.3677,DMSO,DESeq2,DMSO vs T4400,1.2252,0.293,Ino80d
Ino80dos,Group,0.6636,0.8108,T4400,DESeq2,DMSO vs T4400,0.9204,-0.1196,Ino80dos
Ino80e,Group,0.2834,0.5044,T4400,DESeq2,DMSO vs T4400,0.9037,-0.146,Ino80e
Inpp1,Group,0.1498,0.3411,T4400,DESeq2,DMSO vs T4400,0.9057,-0.1429,Inpp1
Inpp4a,Group,0.3887,0.6047,DMSO,DESeq2,DMSO vs T4400,1.0708,0.0988,Inpp4a
Inpp4b,Group,0.1363,0.3218,T4400,DESeq2,DMSO vs T4400,0.7833,-0.3523,Inpp4b
Inpp5a,Group,0.0401,0.1488,DMSO,DESeq2,DMSO vs T4400,1.1197,0.1631,Inpp5a
Inpp5b,Group,0.323,0.5441,DMSO,DESeq2,DMSO vs T4400,1.0576,0.0808,Inpp5b
Inpp5d,Group,0.4453,0.6517,T4400,DESeq2,DMSO vs T4400,0.8085,-0.3067,Inpp5d
Inpp5e,Group,0.3401,0.5613,DMSO,DESeq2,DMSO vs T4400,1.0651,0.091,Inpp5e
Inpp5f,Group,0.4141,0.627,DMSO,DESeq2,DMSO vs T4400,1.0682,0.0951,Inpp5f
Inpp5j,Group,0.1539,0.3466,DMSO,DESeq2,DMSO vs T4400,1.506,0.5907,Inpp5j
Inpp5k,Group,0.0773,0.2255,DMSO,DESeq2,DMSO vs T4400,1.1219,0.1659,Inpp5k
Inppl1,Group,0.046,0.163,T4400,DESeq2,DMSO vs T4400,0.9019,-0.149,Inppl1
Ins2,Group,0.2724,0.4939,DMSO,DESeq2,DMSO vs T4400,1.2956,0.3737,Ins2
Insc,Group,0.0614,0.1955,T4400,DESeq2,DMSO vs T4400,0.4151,-1.2685,Insc
Insig1,Group,0.005,0.0387,DMSO,DESeq2,DMSO vs T4400,1.4363,0.5223,Insig1
Insig2,Group,0,0.0017,DMSO,DESeq2,DMSO vs T4400,1.3585,0.442,Insig2
Insl6,Group,0.9653,0.983,DMSO,DESeq2,DMSO vs T4400,1.0128,0.0184,Insl6
Insr,Group,0.0005,0.0096,DMSO,DESeq2,DMSO vs T4400,1.3446,0.4272,Insr
Ints1,Group,0.3184,0.5396,T4400,DESeq2,DMSO vs T4400,0.9629,-0.0546,Ints1
Ints10,Group,0.102,0.2685,DMSO,DESeq2,DMSO vs T4400,1.0768,0.1068,Ints10
Ints12,Group,0.2411,0.4588,DMSO,DESeq2,DMSO vs T4400,1.0718,0.1,Ints12
Ints2,Group,0.7083,0.8399,T4400,DESeq2,DMSO vs T4400,0.9739,-0.0382,Ints2
Ints3,Group,0.0358,0.1386,T4400,DESeq2,DMSO vs T4400,0.9243,-0.1135,Ints3
Ints4,Group,0.0383,0.1446,T4400,DESeq2,DMSO vs T4400,0.9074,-0.1402,Ints4
Ints5,Group,0.0002,0.0057,T4400,DESeq2,DMSO vs T4400,0.8481,-0.2378,Ints5
Ints6,Group,0.5029,0.6988,T4400,DESeq2,DMSO vs T4400,0.9528,-0.0698,Ints6
Ints7,Group,0.0071,0.048,T4400,DESeq2,DMSO vs T4400,0.8771,-0.1892,Ints7
Ints8,Group,0.9159,0.9602,T4400,DESeq2,DMSO vs T4400,0.9925,-0.0109,Ints8
Ints9,Group,0.0542,0.1808,T4400,DESeq2,DMSO vs T4400,0.9232,-0.1153,Ints9
Intu,Group,0.0165,0.0833,DMSO,DESeq2,DMSO vs T4400,1.2404,0.3108,Intu
Invs,Group,0.0263,0.1138,DMSO,DESeq2,DMSO vs T4400,1.1233,0.1678,Invs
Ip6k1,Group,0.3029,0.5245,DMSO,DESeq2,DMSO vs T4400,1.0601,0.0843,Ip6k1
Ip6k2,Group,0.1878,0.3941,T4400,DESeq2,DMSO vs T4400,0.8981,-0.1551,Ip6k2
Ip6k3,Group,0.3798,0.5964,T4400,DESeq2,DMSO vs T4400,0.9294,-0.1056,Ip6k3
